,Songs,Listeners,Playcount,Duration,Tags
29,Beat It,930300,5368263,258000,"[u'pop', u'80s', u'michael jackson', u'dance', u'rock', u'Beat It', u'king of pop', u'funk', u'Disco', u'male vocalists', u'american', u'eddie van halen', u'guitar', u'party', u'classic rock', u'rnb', u'1982', u'classic', u'soul', u'Awesome', u'favorites', u'thriller', u'pop rock', u'old school', u""80's"", u'mj', u'1983', u'eighties', u'van halen', u'Guitar Solo', u'loved tracks', u'male vocalist', u'legend', u'hard rock', u'singer-songwriter', u'RB', u'funky', u'oldies', u'dance pop', u'beat', u'USA', u'Energetic', u'r&b', u'upbeat', u'classics', u'Guitar Hero', u'Favourites', u'Jackson']"
30,Bad,583204,2964979,247000,"[u'pop', u'80s', u'michael jackson', u'dance', u'rock', u'funk', u'king of pop', u'bad', u'soul', u'Disco', u'male vocalists', u'american', u'1987', u'classic', u'top 40', u'dance pop', u'favorites', u'male vocalist', u'Jackson', u'mj', u'funky', u'r&b', u'party', u'electronic', u'singer-songwriter', u'Michael Jackson - Bad', u'RB', u'rnb', u'childhood', u'sexy', u'pop rock', u'Awesome', u'8 of 10 stars', u'80s Pop', u'amayzes loved', u'classic rock', u'USA', u'catchy', u'upbeat', u'cool', u""80's"", u'All time classics', u'electronica', u'happy', u'dance-pop', u'great', u'favourite', u'dramatic', u'80', u'Favourites']"
31,Dirty Diana,424360,2313647,280000,"[u'pop', u'80s', u'michael jackson', u'rock', u'male vocalists', u'king of pop', u'dance', u'american', u'soul', u'dirty diana', u'hard rock', u'pop rock', u'sexy', u'favorites', u'funk', u'rnb', u'1987', u'Awesome', u'greatest songs ever', u'male vocalist', u'dance pop', u'bad', u'classic', u'names', u'mj', u'The King of Pop', u'Disco', u'Love', u'catchy', u'cool', u""80's"", u'1988', u'Favourites', u'singer-songwriter', u'r&b', u'amayzes loved', u'top 40', u'sensual', u'80s Pop', u'diana', u'fucking genius', u'classic rock', u'favorite songs', u'epic', u'dark', u'urban', u'guitar', u'oldies', u'great lyrics', u'rhythm and blues']"
32,Thriller,969974,4818852,357000,"[u'pop', u'80s', u'michael jackson', u'dance', u'funk', u'halloween', u'king of pop', u'thriller', u'Disco', u'classic', u'rock', u'male vocalists', u'soul', u'american', u'favorites', u'party', u'zombies', u'rnb', u'Awesome', u'1982', u'mj', u'funky', u""80's"", u'Love', u'vincent price', u'fun', u'male vocalist', u'classic rock', u'RB', u'80s Pop', u'USA', u'catchy', u'dance pop', u'Favourites', u'Jackson', u'get up and fucking dance', u'epic', u'motown', u'Michael', u'90s', u'oldies', u'old school', u'loved', u'singer-songwriter', u'good shit', u'cool', u'Favorite', u'Guilty Pleasures', u'english', u'greatest hits']"
33,Smooth Criminal,601186,3826528,256000,"[u'pop', u'80s', u'michael jackson', u'dance', u'king of pop', u'funk', u'Smooth Criminal', u'male vocalists', u'soul', u'rock', u'rnb', u'american', u'dance pop', u'Disco', u'legend', u'classic', u'Awesome', u'Favourites', u'mj', u'favorites', u'dance-pop', u'1987', u'singer-songwriter', u'Jackson', u'moonwalker', u'1988', u'Michael', u'pop rock', u'90s', u'r&b', u'cool', u'male vocalist', u'Soundtrack', u'funky', u'oldies', u'amazing', u'old school', u'top 40', u'criminal', u'motown', u'party', u'smooth', u'jacksons', u'r and b', u'nostalgia', u'my Favorite 80s songs', u'catchy', u'epic', u'RB', u'eighties']"
34,Billie Jean,1063513,6369088,284000,"[u'pop', u'80s', u'michael jackson', u'dance', u'Disco', u'funk', u'billie jean', u'king of pop', u'soul', u'male vocalists', u'rock', u'classic', u'rnb', u'american', u'favorites', u'legend', u'80s Pop', u'oldies', u'party', u'Awesome', u'thriller', u'1983', u'Jackson', u'mj', u'motown', u'1982', u'favorite songs', u'funky', u'r&b', u'dance pop', u'Michael Jackson - billie jean', u'classic rock', u'groovy', u'male vocalist', u'USA', u'pop rock', u'Favourites', u'best songs ever', u'electronic', u'catchy', u'90s', u'classics', u'dance-pop', u""80's"", u'Michael', u'singer-songwriter', u'Love', u'fun', u'cool', u'danceable']"
35,They Dont  Care About Us,2,7,0,[]
36,Beat It,930300,5368263,258000,"[u'pop', u'80s', u'michael jackson', u'dance', u'rock', u'Beat It', u'king of pop', u'funk', u'Disco', u'male vocalists', u'american', u'eddie van halen', u'guitar', u'party', u'classic rock', u'rnb', u'1982', u'classic', u'soul', u'Awesome', u'favorites', u'thriller', u'pop rock', u'old school', u""80's"", u'mj', u'1983', u'eighties', u'van halen', u'Guitar Solo', u'loved tracks', u'male vocalist', u'legend', u'hard rock', u'singer-songwriter', u'RB', u'funky', u'oldies', u'dance pop', u'beat', u'USA', u'Energetic', u'r&b', u'upbeat', u'classics', u'Guitar Hero', u'Favourites', u'Jackson']"
37,Sand,135,341,0,[]
38,Mkrtich Malkhasyan / I have a word with prayer,53,100,0,[]
